Date,compound,neg,neu,pos
2007-01-01,0.8281,0.054,0.857,0.089
2007-01-02,0.9714,0.035,0.896,0.069
2007-01-03,-0.3111,0.054,0.886,0.06
2007-01-04,0.128,0.07,0.853,0.077
2007-01-05,-0.911,0.054,0.902,0.044
2007-01-06,0.9758,0.053,0.84,0.107
2007-01-07,0.9759,0.031,0.814,0.156
2007-01-08,0.9815,0.038,0.886,0.076
2007-01-09,0.9735,0.036,0.889,0.075
2007-01-10,0.9962,0.023,0.872,0.105
2007-01-11,0.9644,0.05,0.873,0.077
2007-01-12,0.9549,0.059,0.866,0.074
2007-01-13,0.8873,0.066,0.836,0.098
2007-01-14,0.8016,0.053,0.842,0.105
2007-01-15,0.9761,0.029,0.9,0.071
2007-01-16,0.9955,0.021,0.886,0.093
2007-01-17,0.9931,0.047,0.84,0.113
2007-01-18,0.9913,0.046,0.863,0.09
2007-01-19,0.9858,0.052,0.854,0.094
2007-01-20,0.6449,0.069,0.849,0.082
2007-01-21,0.8074,0.0,0.883,0.117
2007-01-22,0.9823,0.022,0.899,0.079
2007-01-23,0.9858,0.039,0.877,0.084
2007-01-24,0.9657,0.05,0.876,0.074
2007-01-25,0.9846,0.054,0.85,0.096
2007-01-26,0.797,0.02,0.934,0.046
2007-01-27,0.6662,0.063,0.855,0.082
2007-01-28,0.0258,0.031,0.927,0.042
2007-01-29,0.9655,0.023,0.914,0.063
2007-01-30,0.9629,0.053,0.86,0.087
2007-01-31,0.9984,0.025,0.835,0.139
2007-02-01,0.985,0.045,0.869,0.086
2007-02-02,0.9868,0.036,0.871,0.093
2007-02-03,0.6369,0.064,0.867,0.07
2007-02-04,0.8257,0.043,0.868,0.09
2007-02-05,0.9858,0.037,0.876,0.087
2007-02-06,0.9739,0.051,0.858,0.091
2007-02-07,0.9793,0.038,0.869,0.093
2007-02-08,0.9903,0.043,0.838,0.119
2007-02-09,0.9764,0.02,0.886,0.095
2007-02-10,0.9609,0.075,0.815,0.11
2007-02-11,0.8316,0.037,0.89,0.073
2007-02-12,0.9563,0.063,0.856,0.081
2007-02-13,0.9915,0.03,0.879,0.091
2007-02-14,0.8718,0.058,0.869,0.073
2007-02-15,-0.9404,0.055,0.913,0.032
2007-02-16,0.9626,0.055,0.86,0.085
2007-02-17,0.8936,0.057,0.854,0.089
2007-02-18,0.8176,0.035,0.901,0.064
2007-02-19,-0.8865,0.084,0.846,0.07
2007-02-20,0.9599,0.047,0.879,0.074
2007-02-21,0.8738,0.082,0.81,0.108
2007-02-22,0.7579,0.038,0.908,0.054
2007-02-23,0.9509,0.052,0.872,0.076
2007-02-24,0.626,0.098,0.793,0.108
2007-02-25,0.6705,0.03,0.906,0.063
2007-02-26,0.9817,0.04,0.868,0.092
2007-02-27,0.5312,0.069,0.854,0.076
2007-02-28,0.7691,0.056,0.864,0.08
2007-03-01,0.8284,0.051,0.87,0.08
2007-03-02,0.9612,0.057,0.856,0.088
2007-03-03,0.9668,0.061,0.834,0.105
2007-03-04,-0.0516,0.034,0.921,0.045
2007-03-05,-0.2764,0.067,0.867,0.066
2007-03-06,-0.5859,0.076,0.85,0.075
2007-03-07,0.969,0.04,0.889,0.071
2007-03-08,0.9107,0.039,0.903,0.059
2007-03-09,0.9748,0.039,0.877,0.084
2007-03-10,0.1511,0.054,0.882,0.064
2007-03-11,0.9243,0.0,0.925,0.075
2007-03-12,-0.743,0.06,0.884,0.056
2007-03-13,0.9559,0.042,0.891,0.067
2007-03-14,-0.7847,0.073,0.856,0.072
2007-03-15,0.9933,0.06,0.825,0.115
2007-03-16,-0.921,0.089,0.831,0.08
2007-03-17,0.968,0.039,0.865,0.096
2007-03-18,-0.5994,0.053,0.928,0.019
2007-03-19,0.8485,0.063,0.855,0.082
2007-03-20,0.9905,0.044,0.847,0.108
2007-03-21,0.8748,0.057,0.873,0.07
2007-03-22,-0.3794,0.069,0.857,0.074
2007-03-23,0.9956,0.053,0.822,0.124
2007-03-24,-0.9096,0.066,0.896,0.038
2007-03-25,-0.7184,0.085,0.915,0.0
2007-03-26,0.8105,0.072,0.839,0.089
2007-03-27,0.9667,0.043,0.876,0.081
2007-03-28,0.9894,0.051,0.848,0.101
2007-03-29,0.9497,0.055,0.873,0.072
2007-03-30,0.971,0.067,0.835,0.098
2007-03-31,0.985,0.042,0.85,0.108
2007-04-01,0.7841,0.059,0.848,0.094
2007-04-02,0.9894,0.032,0.873,0.095
2007-04-03,0.9865,0.062,0.836,0.102
2007-04-04,0.9876,0.043,0.859,0.097
2007-04-05,0.8827,0.066,0.85,0.084
2007-04-06,0.2643,0.065,0.863,0.072
